name,type,lat,lng,tags
Tracy,park,36.14738285420873,-95.97825575702528,Full Address: 1134 S PEORIA AVE; Operational Hours: Daylight; Size of Park: 3.34; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Celebration,park,36.132056746795804,-96.00312751110964,Full Address: 1002 W 21ST ST S; Operational Hours: Daylight; Size of Park: 23.21; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Zeigler,park,36.152301627164015,-96.03631995415739,Full Address: 3903 W 4TH ST S; Operational Hours: Daylight; Size of Park: 23.02; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Gary,park,36.14510407239519,-95.94145272651238,Full Address: 1225 S GARY PL; Operational Hours: Daylight; Size of Park: 0.48; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Benton,park,36.17208310791211,-95.90334450102084,Full Address: 1167 N 66TH E AVE; Operational Hours: Daylight; Size of Park: 2.34; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Boots Adams,park,36.06947166826484,-95.89088419796185,Full Address: 6441 S 76TH E AVE; Operational Hours: Daylight; Size of Park: 8.7; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Savage Park,park,36.13331807135706,-95.77523395214128,Full Address: 17800 E 21ST ST S; Operational Hours: Daylight; Size of Park: 20.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Chittom (Clinton),park,36.1789566431681,-95.94406498344783,Full Address: 3121 E QUEEN ST; Operational Hours: Daylight; Size of Park: 10.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Creek Stickball Park,park,36.1359900404136,-95.98966962269765,Full Address: 1800 S CHEYENNE AVE; Operational Hours: Daylight; Size of Park: 1.87; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Holiday Hills,park,36.08267034812882,-95.92919864421512,Full Address: 4111 E 54TH ST; Operational Hours: Daylight; Size of Park: 5.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Hunter,park,36.03170907028288,-95.91226508376015,Full Address: 5804 E 91ST ST; Operational Hours: Daylight; Size of Park: 80.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: Yes
Manion,park,36.08261422062351,-95.94480399868539,Full Address: 3003 E 56TH ST S; Operational Hours: Daylight; Size of Park: 26.53; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: Yes
Maple,park,36.140544471358716,-95.9804840398576,Full Address: 404 E 15TH ST S; Operational Hours: Daylight; Size of Park: 7.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Mohawk Soccer Complex,park,36.231458716282695,-95.9356304206806,Full Address: 3000 E 56TH ST N; Operational Hours: Daylight; Size of Park: 320.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Owen,park,36.15904642263148,-96.00498842534272,Full Address: 560 N MAYBELLE ST; Operational Hours: Daylight; Size of Park: 23.75; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: Yes
Patrick,park,36.18140317980175,-95.9182235352105,Full Address: 5123 E DAWSON RD; Operational Hours: Daylight; Size of Park: 30.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Riggs,park,36.01748458937633,-95.8735920154532,Full Address: 9207 E 101ST ST; Operational Hours: Daylight; Size of Park: 13.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Rose Dew,park,36.15626016256215,-95.79048963844329,Full Address: 317 S 167TH E AVE; Operational Hours: Daylight; Size of Park: 5.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Swan Lake,park,36.1364283310322,-95.96784852235076,Full Address: 1573 SWAN DR; Operational Hours: Daylight; Size of Park: 4.03; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Standard Industries Tract,park,36.12446791586045,-96.05166408359361,Full Address: 2726 S 53RD W AVE; Operational Hours: Daylight; Size of Park: 16.53; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Ute,park,36.18342123451939,-95.9311616649129,Full Address: 1900 N PITTSBURG AVE; Operational Hours: Daylight; Size of Park: 10.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Vining,park,36.24697252867556,-95.99360023305374,Full Address: 6502 N CINCINNATI AVE; Operational Hours: Daylight; Size of Park: 6.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: Yes
Woodland View I,park,36.081076917344596,-95.88923961758759,Full Address: 8445 E 58TH PL S; Operational Hours: Daylight; Size of Park: 4.77; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Woodward,park,36.13015527970321,-95.97261618112917,Full Address: 2101 S PEORIA AVE; Operational Hours: Daylight; Size of Park: 33.98; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Heller,park,36.08491206670931,-95.96465852132056,Full Address: 5328 S WHEELING AVE; Operational Hours: Daylight; Size of Park: 16.27; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Bales,park,36.080267616015924,-96.01172405560983,Full Address: 5801 S UNION AVE; Operational Hours: Daylight; Size of Park: 67.5; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Lacy,park,36.18601637266939,-95.97994260297801,Full Address: 2134 N MADISON PL; Operational Hours: Daylight; Size of Park: 13.37; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation/community-and-specialty-centers/lacy-community-center; Playgrounds Available: Yes; Water Playground Available: Yes
Williams,park,36.196919539243915,-95.99755026059613,Full Address: 101 W 28TH ST N; Operational Hours: Daylight; Size of Park: 18.36; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
East Park Tract,park,36.120994526320125,-95.82811402121673,Full Address: 2909 S 132ND E AVE; Operational Hours: Daylight; Size of Park: 14.42; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Alsuma,park,36.090098464563525,-95.86783868439635,Full Address: 9801 E 51ST ST S; Operational Hours: Daylight; Size of Park: 1.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
